Model,Accuracy,Precision,Recall,F1,ROC_AUC,CV_Mean_Accuracy,CV_Std
Random Forest,0.7467532467532467,0.6595744680851063,0.5740740740740741,0.6138613861386139,0.8164814814814814,0.7704118352658936,0.04258463330237198
Logistic Regression,0.7077922077922078,0.6,0.5,0.5454545454545454,0.812962962962963,0.7817939490870318,0.012452206244262123
Support Vector Machine,0.7402597402597403,0.6521739130434783,0.5555555555555556,0.6,0.7963888888888889,0.7687591630014661,0.017891124038868386
K-Nearest Neighbors,0.7337662337662337,0.6326530612244898,0.5740740740740741,0.6019417475728155,0.787962962962963,0.7638944422231108,0.034568480223221745
Naive Bayes,0.7012987012987013,0.5666666666666667,0.6296296296296297,0.5964912280701754,0.7646296296296297,0.7589764094362256,0.007719479426741846
Decision Tree,0.7597402597402597,0.639344262295082,0.7222222222222222,0.6782608695652174,0.7622222222222222,0.7231374117019858,0.0190728134504326
